sample,template,brand,model,year,price_num,currency,mileage_num,fuel,transmission,description,raw
car_html_table.html,detail_inline_html_blocks,,,,,,,,,,"{""_source"": ""microdata-fallback"", ""specs"": {}, ""raw"": {}, ""description"": null, ""brand"": null, ""model"": null, ""year"": null, ""currency"": null, ""price_value"": null, ""price_raw"": null, ""mileage_value"": null, ""mileage_unit"": null, ""fuel"": null, ""transmission"": null}"
car_hybrid.html,detail_hybrid_json_html,SampleBrand,S-Model,2018,12995,GBP,30000,Petrol,Manual,,"{""_source"": ""hybrid"", ""specs"": {""mileage"": ""30,000 miles"", ""fuel_type"": ""Petrol"", ""transmission"": ""Manual""}, ""name"": ""2018 Sample Hybrid"", ""brand"": ""SampleBrand"", ""model"": ""S-Model"", ""price_raw"": ""12995"", ""price"": ""12995"", ""price_value"": 12995.0, ""currency"": ""GBP"", ""year"": 2018, ""_raw_jsonld"": {""@context"": ""https://schema.org/"", ""@type"": ""Vehicle"", ""name"": ""2018 Sample Hybrid"", ""brand"": ""SampleBrand"", ""model"": ""S-Model"", ""offers"": {""@type"": ""Offer"", ""price"": ""12995"", ""priceCurrency"": ""GBP""}}, ""mileage"": ""30,000 miles"", ""mileage_value"": 30000, ""mileage_unit"": ""mi"", ""fuel"": ""Petrol"", ""transmission"": ""Manual"", ""raw"": {""@context"": ""https://schema.org/"", ""@type"": ""Vehicle"", ""name"": ""2018 Sample Hybrid"", ""brand"": ""SampleBrand"", ""model"": ""S-Model"", ""offers"": {""@type"": ""Offer"", ""price"": ""12995"", ""priceCurrency"": ""GBP""}}, ""description"": null}"
car_jsonld.html,detail_jsonld_vehicle,Fiat,500c,2014,4995,GBP,,,,Lovely used Fiat 500c in good condition.,"{""brand"": ""Fiat"", ""model"": ""500c"", ""price"": 4995.0, ""price_raw"": ""4995"", ""currency"": ""GBP"", ""name"": ""2014 Fiat 500c 1.2 Lounge"", ""description"": ""Lovely used Fiat 500c in good condition."", ""_raw"": {""@context"": ""https://schema.org/"", ""@type"": ""Vehicle"", ""name"": ""2014 Fiat 500c 1.2 Lounge"", ""brand"": ""Fiat"", ""model"": ""500c"", ""description"": ""Lovely used Fiat 500c in good condition."", ""offers"": {""@type"": ""Offer"", ""price"": ""4995"", ""priceCurrency"": ""GBP""}}, ""_source"": ""json-ld"", ""year"": 2014, ""confidence"": 1.0, ""raw"": {""@context"": ""https://schema.org/"", ""@type"": ""Vehicle"", ""name"": ""2014 Fiat 500c 1.2 Lounge"", ""brand"": ""Fiat"", ""model"": ""500c"", ""description"": ""Lovely used Fiat 500c in good condition."", ""offers"": {""@type"": ""Offer"", ""price"": ""4995"", ""priceCurrency"": ""GBP""}}, ""price_value"": 4995.0, ""mileage_value"": null, ""mileage_unit"": null, ""fuel"": null, ""transmission"": null}"
Ford EcoSport details _ carwow.co.uk.html,detail_inline_html_blocks,,,2022,,,21736,Petrol,Manual,,"{""_source"": ""inline-blocks"", ""specs"": {""year"": ""2022"", ""mileage"": ""21,736 miles"", ""engine_size"": ""1 litres"", ""engine_power"": ""125 bhp"", ""transmission"": ""Manual"", ""fuel"": ""Petrol"", ""doors"": ""5"", ""seats"": ""5"", ""colour"": ""Exclusive paint - Fantastic red"", ""registration_number"": ""MT72SVU""}, ""mileage"": ""21,736 miles"", ""mileage_value"": 21736, ""mileage_unit"": ""mi"", ""transmission"": ""Manual"", ""fuel"": ""Petrol"", ""year"": 2022, ""raw"": {""year"": ""2022"", ""mileage"": ""21,736 miles"", ""engine_size"": ""1 litres"", ""engine_power"": ""125 bhp"", ""transmission"": ""Manual"", ""fuel"": ""Petrol"", ""doors"": ""5"", ""seats"": ""5"", ""colour"": ""Exclusive paint - Fantastic red"", ""registration_number"": ""MT72SVU""}, ""description"": null, ""brand"": null, ""model"": null, ""currency"": null, ""price_value"": null, ""price_raw"": null}"
Subaru Outback details _ carwow.co.uk.html,detail_inline_html_blocks,,,2017,,,69730,Diesel,Automatic,,"{""_source"": ""inline-blocks"", ""specs"": {""year"": ""2017"", ""mileage"": ""69,730 miles"", ""engine_size"": ""2 litres"", ""engine_power"": ""150 bhp"", ""transmission"": ""Automatic"", ""fuel"": ""Diesel"", ""doors"": ""5"", ""seats"": ""5"", ""colour"": ""Gold"", ""registration_number"": ""CK67YGV"", ""previous_owners"": ""3""}, ""mileage"": ""69,730 miles"", ""mileage_value"": 69730, ""mileage_unit"": ""mi"", ""transmission"": ""Automatic"", ""fuel"": ""Diesel"", ""year"": 2017, ""raw"": {""year"": ""2017"", ""mileage"": ""69,730 miles"", ""engine_size"": ""2 litres"", ""engine_power"": ""150 bhp"", ""transmission"": ""Automatic"", ""fuel"": ""Diesel"", ""doors"": ""5"", ""seats"": ""5"", ""colour"": ""Gold"", ""registration_number"": ""CK67YGV"", ""previous_owners"": ""3""}, ""description"": null, ""brand"": null, ""model"": null, ""currency"": null, ""price_value"": null, ""price_raw"": null}"
